"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"730890","6/9/2008 0:00:00","HEAT",2,"RIZ002","RI",2,0,0,0
"730891","3/15/2008 0:00:00","TORNADO",55,"KERSHAW","SC",0,2,3410,8049
"731107","7/12/2008 0:00:00","THUNDERSTORM WIND",97,"MAYES","OK",0,2,3621,9519
"731120","8/1/2008 0:00:00","EXCESSIVE HEAT",60,"OKZ060 - 073","OK",2,46,0,0
"731121","8/1/2008 0:00:00","HEAT",25,"OKZ025","OK",0,1,0,0
"731122","8/2/2008 0:00:00","HEAT",35,"OKZ035","OK",1,0,0,0
"731175","8/29/2008 0:00:00","THUNDERSTORM WIND",17,"CANADIAN","OK",0,2,3530,9744
"731335","11/5/2008 0:00:00","TORNADO",113,"OSAGE","OK",0,2,3616,9623
"731433","1/3/2008 0:00:00","HIGH WIND",26,"ORZ026","OR",1,0,0,0
"731571","3/8/2008 0:00:00","RIP CURRENT",2,"ORZ002","OR",1,0,0,0
"731609","6/29/2008 0:00:00","LIGHTNING",5,"CLACKAMAS","OR",0,2,4525,12228
"731685","10/25/2008 0:00:00","HIGH SURF",21,"ORZ021","OR",2,0,0,0
"731797","1/29/2008 0:00:00","WINTER WEATHER",60,"PAZ054 - 060>062 - 067","PA",0,1,0,0
"731843","2/10/2008 0:00:00","STRONG WIND",60,"PAZ060 - 067","PA",1,1,0,0
"731993","5/12/2008 0:00:00","STRONG WIND",68,"PAZ068","PA",0,1,0,0
"732023","6/7/2008 0:00:00","EXCESSIVE HEAT",60,"PAZ054 - 060>062 - 067","PA",0,5,0,0
"732057","6/10/2008 0:00:00","LIGHTNING",15,"BRADFORD","PA",0,1,4146,7647
"732095","6/10/2008 0:00:00","THUNDERSTORM WIND",29,"CHESTER","PA",0,1,4001,7552
"732098","6/10/2008 0:00:00","LIGHTNING",29,"CHESTER","PA",0,1,4007,7548
"732133","6/14/2008 0:00:00","LIGHTNING",89,"MONROE","PA",1,3,4113,7527
"732280","6/26/2008 0:00:00","THUNDERSTORM WIND",21,"CAMBRIA","PA",0,4,4019,7855
"732324","6/29/2008 0:00:00","THUNDERSTORM WIND",129,"WESTMORELAND","PA",1,0,4016,7931
"732350","7/12/2008 0:00:00","HEAT",71,"PAZ071","PA",1,0,0,0
"732482","7/27/2008 0:00:00","LIGHTNING",91,"MONTGOMERY","PA",0,1,4015,7515
"732494","7/29/2008 0:00:00","HEAT",61,"PAZ061","PA",0,1,0,0
"732616","9/14/2008 0:00:00","HIGH WIND",8,"PAZ008","PA",1,0,0,0
"732697","12/24/2008 0:00:00","WINTER WEATHER",60,"PAZ054 - 060","PA",0,5,0,0
"732746","6/24/2008 0:00:00","LIGHTNING",1,"BRISTOL","RI",0,1,4140,7116
"732773","9/28/2008 0:00:00","HIGH SURF",6,"RIZ006","RI",2,0,0,0
"732794","1/11/2008 0:00:00","LIGHTNING",3,"AIKEN","SC",1,1,3333,8143
"732907","3/15/2008 0:00:00","TORNADO",71,"NEWBERRY","SC",2,2,3413,8145
"732969","3/15/2008 0:00:00","TORNADO",41,"FLORENCE","SC",0,3,3404,8000
"733023","3/15/2008 0:00:00","TORNADO",15,"BERKELEY","SC",0,7,3303,8001
"733077","4/15/2008 0:00:00","STRONG WIND",50,"SCZ050","SC",2,2,0,0
"733191","5/20/2008 0:00:00","HAIL",9,"BAMBERG","SC",1,1,3310,8110
"733468","6/21/2008 0:00:00","TORNADO",15,"BERKELEY","SC",0,1,3315,8014
"733690","7/5/2008 0:00:00","LIGHTNING",75,"ORANGEBURG","SC",1,0,3324,8018
"733717","7/7/2008 0:00:00","LIGHTNING",43,"GEORGETOWN","SC",0,1,3328,7907
"733845","7/29/2008 0:00:00","LIGHTNING",83,"SPARTANBURG","SC",0,8,3507,8156
"734083","9/6/2008 0:00:00","HEAVY RAIN",43,"GEORGETOWN","SC",1,0,3327,7934
"734149","12/11/2008 0:00:00","THUNDERSTORM WIND",3,"AIKEN","SC",0,4,3345,8129
"735266","7/31/2008 0:00:00","THUNDERSTORM WIND",37,"DAY","SD",0,10,4520,9731
"735279","7/31/2008 0:00:00","THUNDERSTORM WIND",51,"GRANT","SD",0,2,4513,9637
"735280","7/31/2008 0:00:00","LIGHTNING",99,"MINNEHAHA","SD",0,2,4332,9639
"735339","8/5/2008 0:00:00","LIGHTNING",93,"MEADE","SD",0,3,4425,10327
"735341","8/5/2008 0:00:00","THUNDERSTORM WIND",93,"MEADE","SD",0,1,4425,10327
"735669","1/10/2008 0:00:00","THUNDERSTORM WIND",51,"FRANKLIN","TN",0,2,3511,8606
"735774","2/5/2008 0:00:00","TORNADO",157,"SHELBY","TN",0,1,3518,8945
"735780","2/5/2008 0:00:00","TORNADO",157,"SHELBY","TN",3,13,3459,8959
"735786","2/5/2008 0:00:00","TORNADO",47,"FAYETTE","TN",1,0,3522,8922
"735788","2/5/2008 0:00:00","TORNADO",113,"MADISON","TN",2,14,3533,8904
"735791","2/5/2008 0:00:00","TORNADO",113,"MADISON","TN",0,51,3540,8851
"735802","2/5/2008 0:00:00","TORNADO",71,"HARDIN","TN",3,5,3516,8817
"735823","2/5/2008 0:00:00","TORNADO",81,"HICKMAN","TN",0,1,3548,8717
"735824","2/5/2008 0:00:00","THUNDERSTORM WIND",161,"STEWART","TN",0,1,3630,8740
"735845","2/5/2008 0:00:00","TORNADO",165,"SUMNER","TN",7,14,3622,8620
